topic,category,prompt,quality_score
consciousness,Philosophy,"As a domain expert, explain consciousness thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.92
strategic planning,Business,Give a structured explanation of strategic planning with clear sections and examples.,0.56
CRISPR,Science,"As a domain expert, explain CRISPR thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.82
influencer strategy,Marketing,What are the most important aspects of influencer strategy in the context of Marketing?,0.8
habit formation,General,habit formation explanation,0.17
machine learning,Coding,Give me info on machine learning,0.19
utilitarianism,Philosophy,Walk me through utilitarianism step by step covering the basics and intermediate concepts.,0.54
artificial intelligence,Creative Writing,What are the most important aspects of artificial intelligence in the context of Creative Writing?,0.63
free will,Philosophy,Give me info on free will,0.28
stem cells,Science,Provide an overview of stem cells covering the main concepts and how they apply to Science.,0.55
found family,Creative Writing,Provide an overview of found family covering the main concepts and how they apply to Creative Writing.,0.57
resilience,General,resilience explanation,0.42
referral program,Marketing,What is referral program?,0.16
revenue model,Business,Give me info on revenue model,0.43
curriculum design,Education,Write about curriculum design,0.43
stoicism,Philosophy,"As a leading researcher in Philosophy, analyze stoicism with academic rigor covering methodology findings implications and areas requiring further investigation.",0.83
