topic,category,prompt,quality_score,source
decision making,General,Walk me through decision making step by step covering the basics and intermediate concepts.,0.64,
What is the most important lesson,Education,What is the most important lesson you've learned in life and why?,0.38,ai_generated_prompts
What are some ways to eliminate,General,"What are some ways to eliminate waste in our daily lives, and why is it important to do so?",0.4599999999999999,ai_generated_prompts
What are some challenges faced by,General,What are some challenges faced by endangered species in their struggle for survival?,0.33,ai_generated_prompts
habit formation,General,Give a structured explanation of habit formation with clear sections and examples.,0.61,
What is one aspect of your,General,What is one aspect of your personal growth that you would like to focus on in the upcoming months?,0.41,ai_generated_prompts
market analysis,Business,Explain market analysis,0.25,
If you could travel back in,General,"If you could travel back in time, which historical event would you most want to witness and why?",0.49,ai_generated_prompts
resilience,General,Act as a seasoned practitioner with 20 years experience in resilience. Share expert insights common pitfalls best practices and real-world case studies.,0.87,
gamification,Education,"As a domain expert, explain gamification thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.93,
underwater world,Creative Writing,Act as a thought leader on underwater world. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.98,
What is one interesting fact about,General,What is one interesting fact about a topic of your choice?,0.33,ai_generated_prompts
black holes,Science,black holes explanation,0.3,
lost civilization,Creative Writing,lost civilization explanation,0.15,
vaccine development,Science,"As a domain expert, explain vaccine development thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94,
Imagine you're given the opportunity to,Creative Writing,Imagine you're given the opportunity to travel back in time and meet a historical figure. Who would it be and why?,0.4599999999999999,ai_generated_prompts
If you could travel to any,Creative Writing,"If you could travel to any time period and meet anyone from history, who would you choose and why?",0.49,ai_generated_prompts
dark matter,Science,Act as a seasoned practitioner with 20 years experience in dark matter. Share expert insights common pitfalls best practices and real-world case studies.,0.89,
recursion,Coding,Explain recursion in detail with examples and practical applications.,0.76,
What are some ways to reduce,General,What are some ways to reduce waste and promote sustainability in our daily lives?,0.33,ai_generated_prompts
